Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
22,Female,Without occupation,Below RM 2500,Adidas,Affordable,T-shirts,RM 0 - RM 249,Both accepted,Once per year,Walking,No,No,Yes,No,Price,Promotions,As often in regular shops as on the Internet,From friends or family,21-30
18,Female,Student,Below RM 2500,Adidas,Quality,T-shirts,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Never,Walking,Yes,Yes,Yes,Yes,Fashionable,Design,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
29,Male,Employee,RM 2501 - RM 4849,Adidas,Affordable,Shorts;Caps,RM 250 - RM 499,Both accepted,Once per month,Running,No,Yes,Yes,No,Comfy,Design,"Usually in regular shops, occasionally on the Internet",Websites of producers,21-30
32,Male,Employee,RM 2501 - RM 4849,Nike,Stylish,T-shirts;Sport Shoes;Caps;Bags,RM 500 - RM 749,Both accepted,Once every 6 months,Running,Yes,No,No,Yes,Fashionable,Design,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,31-40
21,Female,Student,Below RM 2500,Nike,Profile,Sport Shoes;Bags,RM 500 - RM 749,Light colour - White / Pink / Yellow / etc,Several times per month,Walking,Yes,No,Yes,No,Fashionable,Design,Always in regular shops,Internet forums / Discussion groups,21-30
35,Female,Employee,RM 2501 - RM 4849,Nike,Stylish,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,No,Comfy,Promotions,As often in regular shops as on the Internet,Websites of producers,31-40
40,Female,Employee,RM 2501 - RM 4849,Adidas,Affordable,Sport Shoes,RM 250 - RM 499,Both accepted,Once every 6 months,Running,No,Yes,Yes,No,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",From friends or family,31-40
20,Male,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 500 - RM 749,Both accepted,Once per month,Running,Yes,No,Yes,No,Fashionable,Promotions,As often in regular shops as on the Internet,In brick and mortar stores (information from seller),15-20
18,Male,Student,Below RM 2500,Asics,Profile,T-shirts;Sport Shoes;Caps;Bags,RM 0 - RM 249,Both accepted,Once every 6 months,Walking,No,Yes,No,No,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
24,Male,Employee,RM 2501 - RM 4849,Asics,Profile,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Both accepted,Once per month,Cycling,Yes,Yes,No,No,Flexibility,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,21-30
33,Male,Employee,RM 2501 - RM 4849,Adidas,Stylish,T-shirts;Shorts;Bags,RM 250 - RM 499,Both accepted,Once every 6 months,Walking,Yes,No,Yes,Yes,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,31-40
65,Female,Without occupation,Below RM 2500,Nike,Quality,T-shirts;Shorts;Sport Shoes,RM 0 - RM 249,Light colour - White / Pink / Yellow / etc,Once per year,Running,No,No,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",In brick and mortar stores (information from seller),Above 50
45,Female,Self-employed,RM 10960 - RM 15039,Nike,Affordable,T-shirts;Shorts;Sport Shoes,RM 750 - RM 999,Both accepted,Once per month,Walking,Yes,No,Yes,Yes,Fashionable,Design,As often in regular shops as on the Internet,Internet forums / Discussion groups,41-50
50,Male,Employee,RM 4850 - RM 10959,Nike,Stylish,Shorts;Sport Shoes;Bags,RM 250 - RM 499,Both accepted,Once every 6 months,Walking,No,No,Yes,Yes,Have seen it advertised,Promotions,Always in regular shops,From friends or family,41-50
23,Female,Employee,RM 2501 - RM 4849,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 500 - RM 749,Both accepted,Once per month,Running,Yes,No,No,No,Fashionable,Design,As often in regular shops as on the Internet,In brick and mortar stores (information from seller),21-30
18,Male,Student,Below RM 2500,Nike,Affordable,Sport Shoes;Caps;Bags,RM 500 - RM 749,Both accepted,Once per month,Gym,Yes,No,No,No,Fashionable,Peer effect,As often in regular shops as on the Internet,In brick and mortar stores (information from seller),15-20
38,Female,Employee,RM 4850 - RM 10959,Nike,Quality,T-shirts;Shorts;Sport Shoes,RM 500 - RM 749,Light colour - White / Pink / Yellow / etc,Once per year,Walking,No,No,Yes,Yes,Comfy,Design,Always in regular shops,In brick and mortar stores (information from seller),31-40
44,Female,Employee,RM 4850 - RM 10959,Asics,Quality,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Running,No,No,Yes,Yes,Price,Quality,Always in regular shops,Websites of producers,41-50
22,Male,Employee,RM 2501 - RM 4849,Adidas,Stylish,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Both accepted,Once every 6 months,Running,No,Yes,No,Yes,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,21-30
34,Female,Employee,RM 2501 - RM 4849,Adidas,Profile,T-shirts;Shorts;Sport Shoes,RM 750 - RM 999,Both accepted,Once per year,Gym,Yes,No,Yes,Yes,Fashionable,Design,Always in regular shops,Internet forums / Discussion groups,31-40
17,Male,Student,Below RM 2500,Asics,Affordable,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,No,Price,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
56,Male,Employee,above RM 15039,Nike,Customer Service,T-shirts;Shorts;Sport Shoes,above RM 999,Both accepted,Once every 6 months,Gym,Yes,Yes,Yes,Yes,Have seen it advertised,Design,Always in regular shops,From friends or family,Above 50
34,Female,Self-employed,RM 4850 - RM 10959,Nike,Quality,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 500 - RM 749,Both accepted,Once per month,Gym,Yes,No,Yes,No,Comfy,Design,"Usually in regular shops, occasionally on the Internet",Websites of producers,31-40
26,Male,Employee,RM 4850 - RM 10959,Adidas,Quality,T-shirts;Sport Shoes;Bags,RM 500 - RM 749,Dark colour - Black / Grey / Brown / etc,Once per month,Walking,No,No,No,No,Flexibility,Quality,Always in regular shops,Websites of producers,21-30
19,Female,Student,RM 2501 - RM 4849,Nike,Stylish,Shorts;Sport Shoes;Caps,RM 500 - RM 749,Light colour - White / Pink / Yellow / etc,Once every 6 months,Walking,No,Yes,No,No,Flexibility,Quality,As often in regular shops as on the Internet,From friends or family,15-20
30,Male,Employee,RM 2501 - RM 4849,Asics,Quality,Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Running,No,Yes,No,No,Flexibility,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,21-30
45,Female,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Shorts;Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Cycling,No,No,No,No,Comfy,Quality,"Usually in regular shops, occasionally on the Internet",From friends or family,41-50
34,Male,Employee,RM 4850 - RM 10959,Adidas,Profile,T-shirts;Shorts;Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Walking,No,No,No,No,Flexibility,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,31-40
20,Female,Student,Below RM 2500,Adidas,Quality,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Both accepted,Once per year,Walking,Yes,No,Yes,Yes,Price,Promotions,Always in regular shops,From friends or family,15-20
29,Female,Self-employed,Below RM 2500,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
39,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
34,Female,Employee,RM 2501 - RM 4849,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
26,Female,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
25,Male,Self-employed,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
36,Male,Self-employed,Below RM 2500,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
33,Male,Employee,RM 2501 - RM 4849,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
39,Female,Self-employed,RM 2501 - RM 4849,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
31,Male,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
40,Male,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
31,Female,Employee,Below RM 2500,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
25,Male,Self-employed,RM 2501 - RM 4849,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
29,Female,Self-employed,Below RM 2500,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
30,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
36,Male,Self-employed,RM 2501 - RM 4849,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
20,Male,Self-employed,RM 2501 - RM 4849,Asics,Affordable,Shorts;Caps;Bags,RM 250 - RM 499,Both accepted,Once every 6 months,Running,No,Yes,No,No,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
