Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
20,Female,Student,Below RM 2500,Nike,Affordable,Sport Shoes,RM 250 - RM 499,Light colour - White / Pink / Yellow / etc,Once per year,Walking,No,Yes,Yes,Yes,Flexibility,Design,Always in regular shops,From friends or family,15-20
21,Female,Student,Below RM 2500,Adidas,Profile,T-shirts,RM 0 - RM 249,Both accepted,Several times per month,Gym,Yes,Yes,Yes,Yes,Fashionable,Quality,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,21-30
22,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Both accepted,Once per year,Walking,Yes,No,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
20,Female,Student,Below RM 2500,Adidas,Affordable,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,Yes,Yes,Yes,Yes,Comfy,Quality,Always in regular shops,In brick and mortar stores (information from seller),15-20
20,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Running,Yes,Yes,Yes,Yes,Comfy,Design,Always in regular shops,Websites of producers,15-20
20,Female,Student,Below RM 2500,Adidas,Stylish,T-shirts;Sport Shoes;Caps;Bags,RM 0 - RM 249,Both accepted,Once every 6 months,Walking,No,No,Yes,Yes,Comfy,Design,"Usually in regular shops, occasionally on the Internet",From friends or family,15-20
20,Female,Student,Below RM 2500,Nike,Stylish,Sport Shoes,RM 250 - RM 499,Both accepted,Once every 6 months,Running,Yes,No,Yes,Yes,Fashionable,Design,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
22,Female,Student,Below RM 2500,Nike,Quality,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Running,No,No,Yes,Yes,Price,Promotions,Always in regular shops,Websites of producers,21-30
22,Female,Employee,RM 2501 - RM 4849,Nike,Quality,Sport Shoes,RM 0 - RM 249,Both accepted,Once per year,Walking,Yes,No,No,No,Price,Promotions,Always in regular shops,Internet forums / Discussion groups,21-30
18,Female,Student,Below RM 2500,Adidas,Quality,T-shirts;Sport Shoes,RM 500 - RM 749,Both accepted,Once per year,Walking,No,Yes,No,No,Comfy,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
20,Female,Student,Below RM 2500,Adidas,Stylish,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,Yes,No,Yes,Yes,Flexibility,Quality,"Usually in regular shops, occasionally on the Internet",From friends or family,15-20
20,Female,Employee,Below RM 2500,Asics,Quality,T-shirts;Shorts,RM 0 - RM 249,Both accepted,Several times per month,Running,No,No,Yes,No,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
20,Female,Student,Below RM 2500,Nike,Quality,T-shirts;Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Walking,No,Yes,Yes,No,Price,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
40,Female,Employee,RM 2501 - RM 4849,Nike,Quality,T-shirts;Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Cycling,Yes,Yes,Yes,Yes,Flexibility,Quality,As often in regular shops as on the Internet,Internet forums / Discussion groups,31-40
